Obs,Specimen,Time until purge of head
1,1A1,36
2,1A2,84
3,1A3,36
4,1A4,84
5,1A5,72
6,1A6,48
7,1A7,36
8,1A8,48
9,1A9,84
10,1A10,36
11,1B1,84
12,1B2,128
13,1B3,132
14,1B4,72
15,1B5,72
16,1B6,72
17,1B7,84
18,1B8,120
19,1B9,48
20,1B10,72
21,1C1,72
22,1C2,108
23,1C3,84
24,1C4,84
25,1C5,60
26,1C6,96
27,1C7,84
28,1C8,72
29,1C9,60
30,1C10,48
31,1D1,96
32,1D2,72
33,1D3,120
34,1D4,60
35,1D5,60
36,1D6,60
37,1D7,48
38,1D8,72
39,1D9,84
40,1D10,48
41,1BA1,60
42,1BA2,48
43,1BA3,84
44,1BA4,96
45,1BA5,48
46,1BA6,84
47,1BA7,96
48,1BA8,84
49,1BA9,96
50,1BA10,84
51,1CA1,60
52,1CA2,84
53,1CA3,60
54,1CA4,72
55,1CA5,64
56,1CA6,72
57,1CA7,72
58,1CA8,36
59,1CA9,96
60,1CA10,48
61,1DA1,60
62,1DA2,96
63,1DA3,72
64,1DA4,60
65,1DA5,84
66,1DA6,60
67,1DA7,72
68,1DA8,72
69,1DA9,96
70,1DA10,48
71,1PC1,72
72,1PC2,72
73,1PC3,60
74,1PC4,72
75,1PC5,48
76,1PC6,72
77,1PC7,42
78,1PC8,48
79,1PC9,48
80,1PC10,36
81,1NC1,120
82,1NC2,48
83,1NC3,60
84,1NC4,48
85,1NC5,60
86,1NC6,60
87,1NC7,48
88,1NC8,72
89,1NC9,48
90,1NC10,60
91,2A1,48
92,2A2,72
93,2A3,48
94,2A4,48
95,2A5,48
96,2A6,132
97,2A7,24
98,2A8,48
99,2A9,48
100,2A10,48
101,2B1,48
102,2B2,144
103,2B3,48
104,2B4,60
105,2B5,48
106,2B6,48
107,2B7,60
108,2B8,48
109,2B9,24
110,2B10,48
111,2C1,48
112,2C2,60
113,2C3,48
114,2C4,48
115,2C5,48
116,2C6,60
117,2C7,24
118,2C8,48
119,2C9,60
120,2C10,48
121,2D1,96
122,2D2,48
123,2D3,48
124,2D4,48
125,2D5,48
126,2D6,48
127,2D7,48
128,2D8,48
129,2D9,72
130,2D10,72
131,2BA1,72
132,2BA2,96
133,2BA3,60
134,2BA4,72
135,2BA5,72
136,2BA6,48
137,2BA7,48
138,2BA8,48
139,2BA9,72
140,2BA10,60
141,2CA1,48
142,2CA2,48
143,2CA3,60
144,2CA4,72
145,2CA5,72
146,2CA6,48
147,2CA7,72
148,2CA8,48
149,2CA9,48
150,2CA10,72
151,2DA1,96
152,2DA2,108
153,2DA3,72
154,2DA4,84
155,2DA5,108
156,2DA6,48
157,2DA7,60
158,2DA8,60
159,2DA9,6
160,2DA10,72
161,2PC1,96
162,2PC2,72
163,2PC3,36
164,2PC4,48
165,2PC5,48
166,2PC6,60
167,2PC7,36
168,2PC8,84
169,2PC9,48
170,2PC10,48
171,2NC1,60
172,2NC2,96
173,2NC3,72
174,2NC4,48
175,2NC5,108
176,2NC6,72
177,2NC7,72
178,2NC8,56
179,2NC9,48
180,2NC10,72
181,3A1,84
182,3A2,84
183,3A3,96
184,3A4,84
185,3A5,48
186,3A6,84
187,3A7,36
188,3A8,48
189,3A9,72
190,3A10,72
191,3B1,48
192,3B2,48
193,3B3,60
194,3B4,60
195,3B5,48
196,3B6,60
197,3B7,60
198,3B8,60
199,3B9,48
200,3B10,48
201,3C1,60
202,3C2,60
203,3C3,40
204,3C4,60
205,3C5,60
206,3C6,60
207,3C7,48
208,3C8,48
209,3C9,60
210,3C10,48
211,3D1,48
212,3D2,48
213,3D3,48
214,3D4,48
215,3D5,48
216,3D6,60
217,3D7,48
218,3D8,48
219,3D9,40
220,3D10,60
221,3BA1,48
222,3BA2,60
223,3BA3,48
224,3BA4,60
225,3BA5,48
226,3BA6,84
227,3BA7,60
228,3BA8,60
229,3BA9,48
230,3BA10,60
231,3CA1,48
232,3CA2,60
233,3CA3,48
234,3CA4,64
235,3CA5,60
236,3CA6,48
237,3CA7,60
238,3CA8,40
239,3CA9,60
240,3CA10,40
241,3DA1,80
242,3DA2,60
243,3DA3,60
244,3DA4,48
245,3DA5,60
246,3DA6,48
247,3DA7,40
248,3DA8,60
249,3DA9,56
250,3DA10,48
251,3PC1,60
252,3PC2,60
253,3PC3,64
254,3PC4,36
255,3PC5,56
256,3PC6,60
257,3PC7,64
258,3PC8,60
259,3PC9,60
260,3PC10,40
261,3NC1,64
262,3NC2,60
263,3NC3,60
264,3NC4,84
265,3NC5,48
266,3NC6,48
267,3NC7,60
268,3NC8,36
269,3NC9,60
270,3NC10,40
