Obs,Specimen,Time until purge for torsos
1,1A1,120
2,1A2,132
3,1A3,72
4,1A4,108
5,1A5,132
6,1A6,156
7,1A7,132
8,1A8,156
9,1A9,96
10,1A10,96
11,1B1,132
12,1B2,96
13,1B3,180
14,1B4,120
15,1B5,72
16,1B6,108
17,1B7,144
18,1B8,108
19,1B9,96
20,1B10,84
21,1C1,120
22,1C2,120
23,1C3,132
24,1C4,156
25,1C5,96
26,1C6,132
27,1C7,96
28,1C8,108
29,1C9,108
30,1C10,84
31,1D1,132
32,1D2,108
33,1D3,120
34,1D4,120
35,1D5,108
36,1D6,108
37,1D7,72
38,1D8,120
39,1D9,96
40,1D10,96
41,1BA1,108
42,1BA2,120
43,1BA3,108
44,1BA4,120
45,1BA5,84
46,1BA6,96
47,1BA7,120
48,1BA8,156
49,1BA9,108
50,1BA10,60
51,1CA1,84
52,1CA2,84
53,1CA3,120
54,1CA4,96
55,1CA5,96
56,1CA6,108
57,1CA7,108
58,1CA8,60
59,1CA9,96
60,1CA10,108
61,1DA1,96
62,1DA2,120
63,1DA3,108
64,1DA4,156
65,1DA5,120
66,1DA6,96
67,1DA7,132
68,1DA8,108
69,1DA9,132
70,1DA10,72
71,1PC1,144
72,1PC2,108
73,1PC3,108
74,1PC4,144
75,1PC5,96
76,1PC6,108
77,1PC7,96
78,1PC8,48
79,1PC9,108
80,1PC10,60
81,1NC1,132
82,1NC2,108
83,1NC3,84
84,1NC4,96
85,1NC5,108
86,1NC6,108
87,1NC7,84
88,1NC8,108
89,1NC9,72
90,1NC10,96
91,2A1,84
92,2A2,156
93,2A3,144
94,2A4,96
95,2A5,84
96,2A6,168
97,2A7,60
98,2A8,72
99,2A9,132
100,2A10,96
101,2B1,96
102,2B2,156
103,2B3,108
104,2B4,60
105,2B5,84
106,2B6,60
107,2B7,60
108,2B8,72
109,2B9,60
110,2B10,60
111,2C1,72
112,2C2,84
113,2C3,84
114,2C4,60
115,2C5,72
116,2C6,96
117,2C7,60
118,2C8,132
119,2C9,72
120,2C10,60
121,2D1,120
122,2D2,72
123,2D3,96
124,2D4,120
125,2D5,84
126,2D6,96
127,2D7,108
128,2D8,60
129,2D9,96
130,2D10,120
131,2BA1,168
132,2BA2,156
133,2BA3,96
134,2BA4,108
135,2BA5,60
136,2BA6,96
137,2BA7,108
138,2BA8,84
139,2BA9,96
140,2BA10,156
141,2CA1,144
142,2CA2,120
143,2CA3,108
144,2CA4,120
145,2CA5,120
146,2CA6,108
147,2CA7,108
148,2CA8,84
149,2CA9,120
150,2CA10,72
151,2DA1,120
152,2DA2,156
153,2DA3,144
154,2DA4,132
155,2DA5,120
156,2DA6,96
157,2DA7,108
158,2DA8,132
159,2DA9,72
160,2DA10,120
161,2PC1,120
162,2PC2,144
163,2PC3,108
164,2PC4,120
165,2PC5,108
166,2PC6,84
167,2PC7,60
168,2PC8,132
169,2PC9,132
170,2PC10,132
171,2NC1,84
172,2NC2,84
173,2NC3,144
174,2NC4,96
175,2NC5,96
176,2NC6,168
177,2NC7,132
178,2NC8,132
179,2NC9,84
180,2NC10,72
181,3A1,120
182,3A2,84
183,3A3,96
184,3A4,96
185,3A5,96
186,3A6,108
187,3A7,96
188,3A8,84
189,3A9,108
190,3A10,108
191,3B1,120
192,3B2,144
193,3B3,96
194,3B4,96
195,3B5,96
196,3B6,96
197,3B7,96
198,3B8,120
199,3B9,96
200,3B10,96
201,3C1,108
202,3C2,96
203,3C3,96
204,3C4,84
205,3C5,108
206,3C6,108
207,3C7,96
208,3C8,96
209,3C9,72
210,3C10,72
211,3D1,96
212,3D2,120
213,3D3,96
214,3D4,108
215,3D5,96
216,3D6,84
217,3D7,96
218,3D8,84
219,3D9,84
220,3D10,84
221,3BA1,96
222,3BA2,108
223,3BA3,108
224,3BA4,108
225,3BA5,96
226,3BA6,72
227,3BA7,96
228,3BA8,120
229,3BA9,108
230,3BA10,108
231,3CA1,108
232,3CA2,96
233,3CA3,108
234,3CA4,96
235,3CA5,96
236,3CA6,96
237,3CA7,108
238,3CA8,96
239,3CA9,96
240,3CA10,96
241,3DA1,108
242,3DA2,108
243,3DA3,96
244,3DA4,96
245,3DA5,84
246,3DA6,96
247,3DA7,96
248,3DA8,96
249,3DA9,72
250,3DA10,96
251,3PC1,108
252,3PC2,96
253,3PC3,96
254,3PC4,96
255,3PC5,96
256,3PC6,132
257,3PC7,96
258,3PC8,120
259,3PC9,108
260,3PC10,96
261,3NC1,96
262,3NC2,96
263,3NC3,96
264,3NC4,96
265,3NC5,84
266,3NC6,84
267,3NC7,108
268,3NC8,96
269,3NC9,96
270,3NC10,96
